Algorithm,Connectivity,Steps,File,Start
Tremaux,30,0,M30_5.mz,"[0, 9"]
Modified,30,0,M30_5.mz,"[0, 9"]
Tremaux,30,539,M30_5.mz,"[0, 14"]
Modified,30,7,M30_5.mz,"[0, 14"]
Tremaux,30,148,M30_5.mz,"[5, 0"]
Modified,30,98,M30_5.mz,"[5, 0"]
Tremaux,30,481,M30_5.mz,"[5, 5"]
Modified,30,75,M30_5.mz,"[5, 5"]
Tremaux,30,539,M30_5.mz,"[5, 9"]
Modified,30,131,M30_5.mz,"[5, 9"]
Tremaux,30,301,M30_5.mz,"[9, 5"]
Modified,30,203,M30_5.mz,"[9, 5"]
Tremaux,30,371,M30_5.mz,"[9, 9"]
Modified,30,231,M30_5.mz,"[9, 9"]
Tremaux,30,64,M30_5.mz,"[9, 14"]
Modified,30,42,M30_5.mz,"[9, 14"]
Tremaux,30,215,M30_5.mz,"[14, 0"]
Modified,30,49,M30_5.mz,"[14, 0"]
Tremaux,30,392,M30_5.mz,"[14, 5"]
Modified,30,32,M30_5.mz,"[14, 5"]
Tremaux,30,471,M30_5.mz,"[14, 14"]
Modified,30,49,M30_5.mz,"[14, 14"]
Tremaux,30,70,M30_6.mz,"[0, 0"]
Modified,30,30,M30_6.mz,"[0, 0"]
Tremaux,30,371,M30_6.mz,"[0, 9"]
Modified,30,25,M30_6.mz,"[0, 9"]
Tremaux,30,146,M30_6.mz,"[0, 14"]
Modified,30,44,M30_6.mz,"[0, 14"]
Tremaux,30,273,M30_6.mz,"[5, 0"]
Modified,30,35,M30_6.mz,"[5, 0"]
Tremaux,30,422,M30_6.mz,"[5, 5"]
Modified,30,16,M30_6.mz,"[5, 5"]
Tremaux,30,46,M30_6.mz,"[5, 9"]
Modified,30,6,M30_6.mz,"[5, 9"]
Tremaux,30,242,M30_6.mz,"[9, 5"]
Modified,30,26,M30_6.mz,"[9, 5"]
Tremaux,30,2,M30_6.mz,"[9, 9"]
Modified,30,2,M30_6.mz,"[9, 9"]
Tremaux,30,175,M30_6.mz,"[9, 14"]
Modified,30,53,M30_6.mz,"[9, 14"]
Tremaux,30,164,M30_6.mz,"[14, 0"]
Modified,30,24,M30_6.mz,"[14, 0"]
Tremaux,30,291,M30_6.mz,"[14, 5"]
Modified,30,23,M30_6.mz,"[14, 5"]
Tremaux,30,216,M30_6.mz,"[14, 14"]
Modified,30,60,M30_6.mz,"[14, 14"]
Tremaux,30,483,M30_7.mz,"[0, 0"]
Modified,30,49,M30_7.mz,"[0, 0"]
Tremaux,30,272,M30_7.mz,"[0, 9"]
Modified,30,144,M30_7.mz,"[0, 9"]
Tremaux,30,387,M30_7.mz,"[0, 14"]
Modified,30,63,M30_7.mz,"[0, 14"]
Tremaux,30,454,M30_7.mz,"[5, 0"]
Modified,30,38,M30_7.mz,"[5, 0"]
Tremaux,30,269,M30_7.mz,"[5, 5"]
Modified,30,85,M30_7.mz,"[5, 5"]
Tremaux,30,191,M30_7.mz,"[5, 9"]
Modified,30,419,M30_7.mz,"[5, 9"]
Tremaux,30,415,M30_7.mz,"[9, 5"]
Modified,30,247,M30_7.mz,"[9, 5"]
Tremaux,30,15,M30_7.mz,"[9, 9"]
Modified,30,3,M30_7.mz,"[9, 9"]
Tremaux,30,98,M30_7.mz,"[9, 14"]
Modified,30,174,M30_7.mz,"[9, 14"]
Tremaux,30,257,M30_7.mz,"[14, 0"]
Modified,30,25,M30_7.mz,"[14, 0"]
Tremaux,30,480,M30_7.mz,"[14, 5"]
Modified,30,46,M30_7.mz,"[14, 5"]
Tremaux,30,201,M30_7.mz,"[14, 14"]
Modified,30,439,M30_7.mz,"[14, 14"]
Tremaux,30,357,M30_8.mz,"[0, 0"]
Modified,30,17,M30_8.mz,"[0, 0"]
Tremaux,30,224,M30_8.mz,"[0, 9"]
Modified,30,72,M30_8.mz,"[0, 9"]
Tremaux,30,177,M30_8.mz,"[0, 14"]
Modified,30,27,M30_8.mz,"[0, 14"]
Tremaux,30,30,M30_8.mz,"[5, 0"]
Modified,30,14,M30_8.mz,"[5, 0"]
Tremaux,30,401,M30_8.mz,"[5, 5"]
Modified,30,9,M30_8.mz,"[5, 5"]
Tremaux,30,351,M30_8.mz,"[5, 9"]
Modified,30,11,M30_8.mz,"[5, 9"]
Tremaux,30,97,M30_8.mz,"[9, 5"]
Modified,30,15,M30_8.mz,"[9, 5"]
Tremaux,30,101,M30_8.mz,"[9, 9"]
Modified,30,17,M30_8.mz,"[9, 9"]
Tremaux,30,104,M30_8.mz,"[9, 14"]
Modified,30,202,M30_8.mz,"[9, 14"]
Tremaux,30,421,M30_8.mz,"[14, 0"]
Modified,30,51,M30_8.mz,"[14, 0"]
Tremaux,30,464,M30_8.mz,"[14, 5"]
Modified,30,44,M30_8.mz,"[14, 5"]
Tremaux,30,433,M30_8.mz,"[14, 14"]
Modified,30,203,M30_8.mz,"[14, 14"]
Tremaux,30,54,M30_9.mz,"[0, 0"]
Modified,30,30,M30_9.mz,"[0, 0"]
Tremaux,30,471,M30_9.mz,"[0, 9"]
Modified,30,305,M30_9.mz,"[0, 9"]
Tremaux,30,424,M30_9.mz,"[0, 14"]
Modified,30,34,M30_9.mz,"[0, 14"]
Tremaux,30,11,M30_9.mz,"[5, 0"]
Modified,30,13,M30_9.mz,"[5, 0"]
Tremaux,30,414,M30_9.mz,"[5, 5"]
Modified,30,10,M30_9.mz,"[5, 5"]
Tremaux,30,292,M30_9.mz,"[5, 9"]
Modified,30,22,M30_9.mz,"[5, 9"]
Tremaux,30,114,M30_9.mz,"[9, 5"]
Modified,30,134,M30_9.mz,"[9, 5"]
Tremaux,30,336,M30_9.mz,"[9, 9"]
Modified,30,22,M30_9.mz,"[9, 9"]
Tremaux,30,435,M30_9.mz,"[9, 14"]
Modified,30,35,M30_9.mz,"[9, 14"]
Tremaux,30,344,M30_9.mz,"[14, 0"]
Modified,30,164,M30_9.mz,"[14, 0"]
Tremaux,30,435,M30_9.mz,"[14, 5"]
Modified,30,43,M30_9.mz,"[14, 5"]
Tremaux,30,60,M30_9.mz,"[14, 14"]
Modified,30,46,M30_9.mz,"[14, 14"]
Tremaux,60,159,M60_1.mz,"[0, 0"]
Modified,60,91,M60_1.mz,"[0, 0"]
Tremaux,60,385,M60_1.mz,"[0, 14"]
Modified,60,13,M60_1.mz,"[0, 14"]
Tremaux,60,43,M60_1.mz,"[2, 10"]
Modified,60,33,M60_1.mz,"[2, 10"]
Tremaux,60,81,M60_1.mz,"[4, 2"]
Modified,60,73,M60_1.mz,"[4, 2"]
Tremaux,60,34,M60_1.mz,"[6, 7"]
Modified,60,34,M60_1.mz,"[6, 7"]
Tremaux,60,280,M60_1.mz,"[7, 6"]
Modified,60,32,M60_1.mz,"[7, 6"]
Tremaux,60,442,M60_1.mz,"[7, 8"]
Modified,60,28,M60_1.mz,"[7, 8"]
Tremaux,60,442,M60_1.mz,"[8, 7"]
Modified,60,30,M60_1.mz,"[8, 7"]
Tremaux,60,19,M60_1.mz,"[10, 12"]
Modified,60,19,M60_1.mz,"[10, 12"]
Tremaux,60,121,M60_1.mz,"[12, 4"]
Modified,60,35,M60_1.mz,"[12, 4"]
Tremaux,60,131,M60_1.mz,"[14, 0"]
Modified,60,131,M60_1.mz,"[14, 0"]
Tremaux,60,141,M60_1.mz,"[14, 14"]
Modified,60,7,M60_1.mz,"[14, 14"]
Tremaux,60,135,M60_10.mz,"[0, 0"]
Modified,60,263,M60_10.mz,"[0, 0"]
Tremaux,60,97,M60_10.mz,"[0, 14"]
Modified,60,189,M60_10.mz,"[0, 14"]
Tremaux,60,171,M60_10.mz,"[2, 10"]
Modified,60,169,M60_10.mz,"[2, 10"]
Tremaux,60,239,M60_10.mz,"[4, 2"]
Modified,60,195,M60_10.mz,"[4, 2"]
Tremaux,60,310,M60_10.mz,"[6, 7"]
Modified,60,398,M60_10.mz,"[6, 7"]
Tremaux,60,168,M60_10.mz,"[7, 6"]
Modified,60,148,M60_10.mz,"[7, 6"]
Tremaux,60,292,M60_10.mz,"[7, 8"]
Modified,60,162,M60_10.mz,"[7, 8"]
Tremaux,60,74,M60_10.mz,"[8, 7"]
Modified,60,390,M60_10.mz,"[8, 7"]
Tremaux,60,101,M60_10.mz,"[10, 12"]
Modified,60,43,M60_10.mz,"[10, 12"]
Tremaux,60,19,M60_10.mz,"[12, 4"]
Modified,60,95,M60_10.mz,"[12, 4"]
Tremaux,60,357,M60_10.mz,"[14, 0"]
Modified,60,425,M60_10.mz,"[14, 0"]
Tremaux,60,409,M60_10.mz,"[14, 14"]
Modified,60,41,M60_10.mz,"[14, 14"]
Tremaux,60,231,M60_2.mz,"[0, 0"]
Modified,60,349,M60_2.mz,"[0, 0"]
Tremaux,60,125,M60_2.mz,"[0, 14"]
Modified,60,255,M60_2.mz,"[0, 14"]
Tremaux,60,291,M60_2.mz,"[2, 10"]
Modified,60,323,M60_2.mz,"[2, 10"]
Tremaux,60,167,M60_2.mz,"[4, 2"]
Modified,60,25,M60_2.mz,"[4, 2"]
